lev,Times,bnds,south_north,west_east,Times_bnds,lon,lat,CO
1.0,20190701.229166668,0,0,0,20190101.0,14.0,45.0,173.78815
1.0,20190701.229166668,0,0,1,20190101.0,14.1,45.0,171.01495
1.0,20190701.229166668,0,0,2,20190101.0,14.2,45.0,170.07361
1.0,20190701.229166668,0,0,3,20190101.0,14.3,45.0,169.53348
1.0,20190701.229166668,0,0,4,20190101.0,14.4,45.0,170.8663
1.0,20190701.229166668,0,0,5,20190101.0,14.5,45.0,171.86702
1.0,20190701.229166668,0,0,6,20190101.0,14.6,45.0,173.28822
1.0,20190701.229166668,0,0,7,20190101.0,14.7,45.0,171.98145
1.0,20190701.229166668,0,0,8,20190101.0,14.8,45.0,170.95395
1.0,20190701.229166668,0,0,9,20190101.0,14.9,45.0,170.14047
1.0,20190701.229166668,0,0,10,20190101.0,15.0,45.0,169.42212
1.0,20190701.229166668,0,0,11,20190101.0,15.1,45.0,169.13214
1.0,20190701.229166668,0,0,12,20190101.0,15.2,45.0,168.76492
1.0,20190701.229166668,0,0,13,20190101.0,15.3,45.0,168.03627
1.0,20190701.229166668,0,0,14,20190101.0,15.4,45.0,167.7409
1.0,20190701.229166668,0,0,15,20190101.0,15.5,45.0,167.57144
1.0,20190701.229166668,0,0,16,20190101.0,15.6,45.0,166.95541
1.0,20190701.229166668,0,0,17,20190101.0,15.7,45.0,167.0753
1.0,20190701.229166668,0,0,18,20190101.0,15.8,45.0,167.3674
1.0,20190701.229166668,0,0,19,20190101.0,15.9,45.0,167.43724
1.0,20190701.229166668,0,0,20,20190101.0,16.0,45.0,167.26059
1.0,20190701.229166668,0,0,21,20190101.0,16.1,45.0,166.92145
1.0,20190701.229166668,0,0,22,20190101.0,16.2,45.0,166.52637
1.0,20190701.229166668,0,0,23,20190101.0,16.3,45.0,165.9739
1.0,20190701.229166668,0,0,24,20190101.0,16.4,45.0,165.92485
1.0,20190701.229166668,0,0,25,20190101.0,16.5,45.0,166.23097
1.0,20190701.229166668,0,0,26,20190101.0,16.6,45.0,165.79729
1.0,20190701.229166668,0,0,27,20190101.0,16.7,45.0,164.08276
1.0,20190701.229166668,0,0,28,20190101.0,16.8,45.0,161.58438
1.0,20190701.229166668,0,0,29,20190101.0,16.9,45.0,158.52274
1.0,20190701.229166668,0,0,30,20190101.0,17.0,45.0,158.51251
1.0,20190701.229166668,0,0,31,20190101.0,17.1,45.0,158.22546
1.0,20190701.229166668,0,0,32,20190101.0,17.2,45.0,155.70052
1.0,20190701.229166668,0,0,33,20190101.0,17.3,45.0,155.0406
1.0,20190701.229166668,0,0,34,20190101.0,17.4,45.0,155.70964
1.0,20190701.229166668,0,0,35,20190101.0,17.5,45.0,156.02242
1.0,20190701.229166668,0,0,36,20190101.0,17.6,45.0,156.31476
1.0,20190701.229166668,0,0,37,20190101.0,17.7,45.0,156.37094
1.0,20190701.229166668,0,0,38,20190101.0,17.8,45.0,156.75829
1.0,20190701.229166668,0,0,39,20190101.0,17.9,45.0,156.89462
1.0,20190701.229166668,0,0,40,20190101.0,18.0,45.0,157.06108
1.0,20190701.229166668,0,0,41,20190101.0,18.1,45.0,157.13445
1.0,20190701.229166668,0,0,42,20190101.0,18.2,45.0,157.18346
1.0,20190701.229166668,0,0,43,20190101.0,18.3,45.0,156.69463
1.0,20190701.229166668,0,0,44,20190101.0,18.4,45.0,156.58636
1.0,20190701.229166668,0,0,45,20190101.0,18.5,45.0,156.56548
1.0,20190701.229166668,0,0,46,20190101.0,18.6,45.0,156.80855
1.0,20190701.229166668,0,0,47,20190101.0,18.7,45.0,156.79543
1.0,20190701.229166668,0,0,48,20190101.0,18.8,45.0,156.48456
1.0,20190701.229166668,0,0,49,20190101.0,18.9,45.0,156.03883
1.0,20190701.229166668,0,0,50,20190101.0,19.0,45.0,155.60962
1.0,20190701.229166668,0,0,51,20190101.0,19.1,45.0,155.46684
1.0,20190701.229166668,0,0,52,20190101.0,19.2,45.0,155.4819
1.0,20190701.229166668,0,0,53,20190101.0,19.3,45.0,155.19176
1.0,20190701.229166668,0,0,54,20190101.0,19.4,45.0,154.70247
1.0,20190701.229166668,0,0,55,20190101.0,19.5,45.0,154.56155
1.0,20190701.229166668,0,0,56,20190101.0,19.6,45.0,153.6746
1.0,20190701.229166668,0,0,57,20190101.0,19.7,45.0,153.574
1.0,20190701.229166668,0,0,58,20190101.0,19.8,45.0,154.34265
1.0,20190701.229166668,0,0,59,20190101.0,19.9,45.0,155.35652
1.0,20190701.229166668,0,0,60,20190101.0,20.0,45.0,155.84567
1.0,20190701.229166668,0,0,61,20190101.0,20.1,45.0,155.9738
1.0,20190701.229166668,0,0,62,20190101.0,20.2,45.0,155.67262
1.0,20190701.229166668,0,0,63,20190101.0,20.3,45.0,155.29555
1.0,20190701.229166668,0,0,64,20190101.0,20.4,45.0,155.43076
1.0,20190701.229166668,0,0,65,20190101.0,20.5,45.0,155.73038
1.0,20190701.229166668,0,0,66,20190101.0,20.6,45.0,155.87184
1.0,20190701.229166668,0,0,67,20190101.0,20.7,45.0,156.15265
1.0,20190701.229166668,0,0,68,20190101.0,20.8,45.0,156.19861
1.0,20190701.229166668,0,0,69,20190101.0,20.9,45.0,156.48073
1.0,20190701.229166668,0,0,70,20190101.0,21.0,45.0,156.6032
1.0,20190701.229166668,0,0,71,20190101.0,21.1,45.0,156.57211
1.0,20190701.229166668,0,0,72,20190101.0,21.2,45.0,156.30159
1.0,20190701.229166668,0,0,73,20190101.0,21.3,45.0,156.55086
1.0,20190701.229166668,0,0,74,20190101.0,21.4,45.0,156.32912
